Gene	CTRL_1	CTRL_2	CTRL_3	FTY_1	FTY_2	FTY_3
COL3A1	17960.63958	22086.2032	20032.77577	13290.98862	11991.5117	12197.86942
CLU	629.4425059	849.7272714	862.291977	313.5373369	243.2069922	165.1092822
OXTR	5812.604248	7672.452894	7402.231004	3381.975768	4158.638569	3472.910888
COL1A1	242785.4059	286263.2506	266464.2685	167967.9403	180421.3987	168991.0351
DIO2	351.6266768	482.8213583	447.193606	156.7686684	197.9825515	157.2469354
NRG1	1766.334589	2112.343442	1962.088692	1314.038502	1336.63347	1163.627322
MDK	1153.294494	1072.936352	1147.939567	1754.39993	1535.621009	1602.795549
SRPX	1075.383044	934.9873922	860.1522947	1439.98187	1388.892823	1405.113687
DES	234.7595014	226.083017	240.7142616	539.0023881	439.1795686	430.1826877
SLC7A8	521.8016865	481.8633794	498.5459818	782.9626193	708.5162376	777.249138
HERC4	4536.291675	4850.247097	4700.882068	3317.683	3561.675952	3580.737359
TENM2	4081.124782	4011.057594	3853.567868	2713.50712	2835.069938	3082.039935
CTHRC1	3295.859375	3257.128211	3302.599669	4261.817902	4301.346804	4373.71119
TENT5A	1502.870869	1660.177409	1571.596668	941.4927334	1096.44144	960.3294986
ZNF536	10.25150661	12.45372551	9.628570463	141.7963799	72.35910512	67.39154376
TRAM2	9311.443455	9559.671298	9006.992748	7899.203298	7957.491588	7827.527808
COL1A2	175690.3203	193656.3897	180014.6835	141786.6919	150686.8314	144864.8625
ADAM12	2517.770024	2918.961664	2727.025123	1821.334867	1923.546211	2066.674009
ENPP1	5315.406178	5304.329089	5271.107408	6860.831051	6718.341913	6458.356277
MEG3	7363.657199	6607.180373	6642.643778	4282.95525	5127.446588	4837.58965
CCBE1	2100.533705	2257.956233	2219.920412	1542.145721	1625.064902	1727.469905
COL5A1	19954.55762	23482.93642	21777.68671	15804.57166	15959.20263	15273.1702
EPHB2	356.7524301	335.2926099	343.4190132	609.4602166	507.5187234	553.7338512
SFRP1	230.6588987	174.3521572	157.2666509	330.2710711	382.9002646	308.8779089
BAALC	819.0953782	869.844828	799.1713484	1291.139707	1028.102285	1234.388443
NREP	1364.47553	1587.371013	1538.431592	847.2553878	1070.311763	1059.170429
SSTR1	1705.8507	2012.713638	1860.453782	1345.744524	1325.578606	1439.932652
CPA4	119.9426273	128.3691707	102.7047516	44.91686567	48.23940341	52.79004261
EZR	4561.920442	5625.252016	5703.323238	4136.755256	4025.98021	4034.507086
CRYAB	2069.779185	2252.20836	2192.104542	2687.966158	2960.693384	2729.357522
FBN2	4302.557325	4209.359223	4061.117053	3049.062529	3644.084933	3226.931754
COL4A1	3133.885571	3685.344772	3380.698074	2495.968575	2664.222051	2573.233779
NOG	705.3036548	869.844828	854.8030889	1373.046933	1247.189576	1350.07726
CHN1	865.227158	1072.936352	1039.88561	720.4312965	686.406511	535.7627729
DCBLD1	905.2080338	981.9283576	879.4094356	1151.985496	1187.895309	1190.58394
CTSC	605.8640407	900.5001524	877.2697533	501.1313052	439.1795686	486.3423075
CNIH3	357.7775807	252.9064258	312.3936195	438.5999824	480.384059	715.4735563
SHROOM3	2463.437039	2415.06477	2470.263244	1771.133664	1918.521273	1877.977686
PAM	7826.000147	6891.700102	6786.002494	8616.992426	8892.130029	8690.139568
EIF1	7625.070617	8095.879561	8087.999189	9077.61048	9624.765968	9540.396212
NEAT1	8149.947756	6953.010751	6913.313593	4606.180539	5680.189752	5613.715595
CACNA1G	5.125753306	2.873936656	1.069841163	55.48553995	21.10473899	28.0798099
ELL2	7023.307179	7921.527404	7707.135735	5652.479292	6199.768326	6077.594055
TENM3	2719.724704	2997.515933	2884.291774	2400.850506	2437.09486	2411.494074
ERRFI1	1469.040897	1429.304497	1413.260176	1978.984258	1833.09733	2054.318892
PPP1R14C	77.91145024	89.09203635	93.07618114	37.87108282	53.26434127	16.84788594
DNAJB4	2857.094893	3287.783535	3311.158398	2585.802306	2404.935258	2500.226274
MALL	660.1970258	801.8283271	818.4284894	367.2614311	472.3441584	378.5158375
APBA2	36.9054238	33.52926099	48.14285232	168.2180656	87.43391868	105.5800852
SYNPO2	553.581357	467.4936961	464.3110646	320.5831197	298.4813086	318.9866405
TNC	5164.709031	5090.699797	4847.450308	8974.565906	6430.915467	6721.183298
CLEC14A	59.45873834	74.72235307	81.30792836	27.30240855	25.12468928	10.10873156
BEX1	26.65391719	27.78138768	38.51428185	7.926505707	7.034912997	1.123192396
PLXNC1	62.53419033	56.52075424	55.63174045	213.1349312	122.6084837	134.7830875
ESM1	333.1739649	227.0409959	211.8285502	444.7650424	619.0723438	518.914887
CHST8	56.38328636	69.93245864	68.4698344	26.42168569	16.07980114	0
MGLL	3063.150175	3509.076658	3515.49806	2645.69146	2796.88041	2700.15452
ARHGAP29	3305.085731	3052.120729	2960.250497	1986.030041	2455.184636	2355.334454
POPDC3	359.827882	352.5362299	368.0253599	492.3240767	453.2493946	560.4730056
SH3KBP1	1963.163516	1780.882748	1827.288706	2431.675806	2252.177147	2394.646188
LIPA	1271.18682	1470.497589	1395.072876	915.0710477	1021.067372	1149.025821
GREM2	1659.71892	1388.111405	1381.164941	2016.855341	1877.316783	1763.412062
SPARC	69950.13021	81204.99619	76541.78598	55948.80017	63229.79802	60780.43332
SLC5A3	429.538127	452.1660339	467.520588	348.7662511	303.5062465	298.7691773
SCIN	27.67906785	37.36117653	27.81587023	125.9433685	58.28927912	76.37708293
STARD4	324.9727596	484.7373161	447.193606	295.9228797	280.3915323	241.4863651
NOB1	644.8197658	661.9634099	629.0666036	485.2782938	535.6583754	456.0161128
DIRAS3	44.08147843	68.01650087	70.60951673	360.2156482	143.7132227	162.8628974
TAGLN	14906.71576	14380.22105	14404.34141	16859.67764	18458.60672	18422.60168
MTCO1P12	400.8339085	481.8633794	344.4888543	619.148168	613.0424184	605.4007015
DSEL	1938.5599	1828.781692	1806.961724	1436.458979	1471.301804	1590.440433
AC098864.1	229.6337481	205.9654604	227.8761676	133.8698742	153.7630984	124.674356
CAMK2N1	1276.312573	1089.221993	1134.031632	1423.248136	1522.55617	1494.969079
MMP1	5302.079219	3837.663415	3934.875796	5358.317858	5868.122427	6166.326254
PTPRN	430.5632777	542.2160492	487.8475701	1461.999941	778.8653676	914.2786104
LRP4	198.8792283	180.1000305	172.2444272	376.9493825	269.336669	331.3417568
CHRDL1	93.28871016	134.117044	123.0317337	29.94457712	62.30922941	48.29727303
KCNMA1	1388.053995	1484.867272	1584.434762	1172.242122	1107.496303	1277.069754
ZFHX4	960.5661695	906.2480257	836.6157891	672.8722622	767.8105043	670.5458604
SPRY2	568.9586169	475.1575272	539.1999459	674.6337079	688.4164862	757.0316749
SMAGP	544.355001	558.5016902	515.6634404	698.4132251	685.4015235	677.2850148
NXN	2014.421049	2301.065283	2443.517215	1861.848118	1864.251944	1803.846988
WISP1	179.4013657	159.024495	185.0825211	90.7144542	112.558608	113.442432
TOMM34	1124.590275	1242.498614	1220.688767	1414.440907	1436.127239	1510.693773
SCART1	66.63479297	55.56277536	64.19046975	22.89879426	29.14463956	23.58704032
LRRC15	1759.158534	1799.084347	1678.580784	2583.160138	2142.633502	2066.674009
CPXM2	1101.01181	857.3911025	865.5015005	1128.205979	1254.224489	1355.693222
RIPK4	37.93057446	17.24361994	27.81587023	107.4481885	45.2244407	86.48581449
IRF2BP2	1458.789391	1467.623653	1306.27606	1720.932461	1629.084853	1935.260498
SYTL2	333.1739649	325.7128211	322.0221899	216.6578227	232.1521289	204.4210161
RCN1	2826.340373	2534.812131	2530.174349	2918.715546	3401.882928	3376.316342
CRISPLD2	180.4265164	192.553756	206.4793444	610.3409394	247.2269425	465.001652
LUM	2541.348489	2334.594544	2292.669611	1513.96259	1980.830503	1719.607558
CEMIP	4290.255517	3135.464892	3056.536201	2325.989064	2843.109839	2418.233229
GRAMD2B	1361.400078	1454.211948	1400.422082	959.1071905	1176.840446	1100.728548
TOX2	695.0521482	577.6612679	665.4412031	819.9529792	815.0449201	1004.134002
AKR1C2	225.5331454	214.5872703	233.2253734	156.7686684	149.7431481	115.6888168
RPL32	6047.36375	7277.765593	6899.405657	8089.439435	8172.558928	8224.014724
CNN1	457.2171949	445.4601817	431.1459885	785.6047878	643.1920455	616.6326254
CHST15	147.6216952	126.4532129	118.752369	63.41204566	95.47381925	47.17408063
ENPP2	3375.821127	3355.800036	3404.234579	2970.678194	2647.137262	2579.972934
LBH	4032.942701	4368.383718	4050.418642	3246.344448	3537.55625	3662.730403
EIF4EBP1	2603.882679	2501.28287	2653.206083	3236.656497	2994.862962	3360.591649
HSPA5	16509.02625	20163.53958	19616.60756	15897.92828	15606.45199	14880.05286
CCDC85A	433.6387296	488.5692316	468.5904292	300.326494	372.8503889	274.0589446
CPNE7	180.4265164	155.1925794	166.8952214	260.6939655	219.0872905	278.5517142
HAS1	32.80482116	45.02500762	37.44444069	88.07228563	81.40399326	53.91323501
DSE	1694.574043	1680.294965	1631.507773	1382.734884	1457.231978	1204.062249
C9orf3	1043.603373	1247.288509	1293.437966	947.6577934	920.5686151	987.2861161
SPRY4	832.4223368	831.5256726	784.1935722	1009.308393	1003.982583	989.5325009
STMN2	71.76054628	133.1590651	116.6126867	719.5505736	241.1970171	238.116788
ZNF469	447.9908389	486.6532738	440.774559	319.7023968	327.6259482	271.8125598
TPM2	21402.07035	22413.83198	22323.3057	24927.099	27072.35519	25953.60669
CYP1B1	252.1870626	139.8649173	162.6158567	70.45782851	60.29925426	123.5511636
CITED2	27815.41289	24970.67763	25922.25137	18864.20286	22667.49467	20904.85687
PRRX2	3851.491034	4406.702873	4621.713822	5924.622654	5412.863058	5396.939463
FBLN1	1830.919081	1513.606639	1603.691903	2147.202324	2078.314297	1909.427073
GLIPR1	4252.324942	4420.114578	4377.790037	5093.220278	5594.765808	5303.714494
PHGDH	3487.562549	2898.844107	2922.806056	3614.486602	3731.518851	4267.007912
