Gene	FTY_1	FTY_2	FTY_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
NR1D1	596.2493737	670.3267099	698.6256703	234.8655106	236.7007521	249.979715
TM4SF1	605.0566023	685.4015235	634.6037038	303.6324394	309.9175101	299.5865846
MICAL2	5552.076886	5034.987731	5256.540413	7570.709883	7524.275602	7140.47116
NRG1	1314.038502	1336.63347	1163.627322	2343.365343	2262.698715	2043.608488
ATF4	7220.165976	7580.621249	7227.743068	5150.11399	4935.611868	5213.584718
FAM167A	1235.654167	1411.00255	1483.737155	663.3363746	696.0606861	698.3869082
EIF4EBP1	3236.656497	2994.862962	3360.591649	2003.76251	1835.433798	2150.603696
CHAC1	925.639722	980.8678694	1051.308083	501.4696038	414.2263161	352.1115052
GPRC5A	535.4794966	779.8703551	905.2930712	285.6472427	305.905633	215.935785
HSPA5	15897.92828	15606.45199	14880.05286	24167.87263	24149.49453	22487.47483
ITGA2	1351.909584	1342.663395	1255.729099	1930.76377	2041.042502	1880.197623
SCX	81.02650278	74.36908026	44.92769584	271.8938569	278.8254622	181.8918549
XYLT1	2375.309544	2169.768166	2043.086968	3579.054155	3604.671622	3155.385975
MTHFD2	2137.514372	2373.780643	2449.682616	1360.527237	1349.996662	1373.429407
SLC6A9	609.4602166	780.8753427	946.8511898	360.7618879	326.967988	272.3514405
PHGDH	3614.486602	3731.518851	4267.007912	2428.001563	2264.704653	2579.557215
PSAT1	4696.01427	6113.339395	6398.82708	3058.541402	3065.074145	2560.103541
URB1	1314.919224	1270.30429	1217.540557	1755.143613	1811.362535	1660.371103
NR1D2	1319.322839	1249.199551	1366.925146	707.7703901	735.1764884	963.9295627
FAM107B	450.0493796	544.7032635	546.9946969	294.1108647	288.8551551	269.4333894
COL3A1	13290.98862	11991.5117	12197.86942	16996.01094	17373.43401	17886.68086
SULF2	255.4096283	285.4164702	208.9137857	525.802517	537.5915386	452.297928
COL5A2	5222.686538	5284.224649	5631.686674	6948.633666	6898.422766	6837.966524
ATP2A2	5793.394949	5556.57628	5848.462806	6907.373509	7231.408569	7135.607742
TEF	546.9288938	566.8129901	545.8715045	330.0812582	328.9739266	371.5651796
PMEPA1	543.4060024	516.5636115	550.364274	846.3622005	865.5624959	789.8191775
NUPR1	2757.543263	3249.124817	3388.671459	2057.7181	2061.101888	1572.829569
TRIB3	845.4939421	1094.431465	1190.58394	423.1811002	416.2322547	341.4119844
DNAJB4	2585.802306	2404.935258	2500.226274	3421.419195	3474.285615	3370.349076
DDIT4	585.6806995	700.476337	660.4371289	280.3574789	248.7363835	175.0830689
DBP	103.925297	124.6184588	133.6598951	50.78173203	22.06532434	23.34440919
STARD4	295.9228797	280.3915323	241.4863651	502.5275565	542.606385	481.4784395
TNS1	5535.343152	6361.571325	6563.936362	10270.6053	10099.90073	7843.721487
TXNRD1	10921.84414	11160.38698	11294.82273	8369.46421	8453.025163	9075.139072
GPAM	422.746971	369.8354262	352.6824123	655.9307054	604.7904809	609.87269
MKNK2	2214.137261	2732.561206	2603.559974	1559.422354	1469.350007	1271.297617
MARS	3870.776954	4016.935322	3969.361928	3181.263921	3137.287934	2946.258976
MASP1	376.0686597	431.139668	431.3058801	825.2031455	775.2952599	592.3643831
HSPA8	21987.24611	19572.13295	20144.45562	25624.67357	26008.99959	27449.13447
MT2A	11448.51641	13349.24991	12081.05741	8420.245942	7653.65864	6941.070998
NREP	847.2553878	1070.311763	1059.170429	1633.479047	1678.970589	1333.549375
FGF5	3728.980574	4017.940309	4024.398355	3057.483449	3082.124623	2883.034535
GOPC	1158.150556	1114.531216	1017.612311	1558.364402	1554.602397	1424.00896
FRMD6	15011.92109	15816.49439	15884.18686	20422.7199	20428.47847	18088.02639
ENAH	5155.751601	4896.299446	5154.329905	6493.713983	6541.365699	6229.066518
STC2	5450.793758	6392.72594	6966.03924	4057.248798	3818.304081	3212.774314
ARHGEF2	2662.425195	2774.770684	3396.533806	1942.40125	1893.606016	1789.738038
CABLES1	559.2590138	544.7032635	616.6326254	354.4141714	365.080821	387.128119
RSL24D1	1469.926447	1553.710785	1648.846437	1133.067396	1127.33748	1172.083878
FAM198B	152.3650541	241.1970171	270.6893674	499.3536983	465.3777498	391.9915376
