Gene	CTRL_1	CTRL_2	CTRL_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
TM4SF1	681.7251896	784.5847072	724.2824671	303.6324394	309.9175101	299.5865846
ITGA2	1102.036961	1161.070409	1050.584022	1930.76377	2041.042502	1880.197623
SLC7A8	521.8016865	481.8633794	498.5459818	969.0847195	914.707991	964.9022464
CTHRC1	3295.859375	3257.128211	3302.599669	5199.837769	5202.401699	4697.089665
NR1D1	665.3227791	529.7623237	504.9650287	234.8655106	236.7007521	249.979715
FAM167A	1674.07103	1267.406065	1251.71416	663.3363746	696.0606861	698.3869082
GPRC5A	851.9001994	704.1144808	741.3999257	285.6472427	305.905633	215.935785
GLIPR1	4252.324942	4420.114578	4377.790037	7404.611301	7204.328399	6285.482174
DES	234.7595014	226.083017	240.7142616	532.1502335	470.3925963	628.3536806
SRPX	1075.383044	934.9873922	860.1522947	1468.438418	1567.640998	1527.113434
PMEPA1	456.1920442	506.7708304	458.9618587	846.3622005	865.5624959	789.8191775
EPHB2	356.7524301	335.2926099	343.4190132	721.5237759	581.7221873	719.7859499
BAALC	819.0953782	869.844828	799.1713484	1330.90456	1438.25796	1391.910398
ENPP1	5315.406178	5304.329089	5271.107408	7088.283429	7130.108671	7459.511419
MICAL2	5629.10228	5583.100945	5473.307388	7570.709883	7524.275602	7140.47116
HSPB7	2276.859618	2169.822176	2228.479142	4446.575411	4343.859988	3204.020161
CA12	779.1145024	800.8703483	794.8919838	1127.777632	1135.361234	1164.302408
MXRA5	1409.582159	1415.892793	1269.90146	2139.180462	2185.470079	2415.173667
GREM2	1659.71892	1388.111405	1381.164941	2156.107706	2273.731377	2405.44683
ADM	4390.720282	4181.577835	4171.310693	3025.744867	2863.477318	2764.367121
ZNF536	10.25150661	12.45372551	9.628570463	92.0418893	99.29395955	188.7006409
CLU	629.4425059	849.7272714	862.291977	252.8507074	276.8195236	356.0022401
XYLT1	2327.092001	2262.746128	2193.174383	3579.054155	3604.671622	3155.385975
PAM	7826.000147	6891.700102	6786.002494	9453.865779	9734.819913	9743.372785
TNC	5164.709031	5090.699797	4847.450308	8279.538226	8604.473525	10956.30938
SSTR1	1705.8507	2012.713638	1860.453782	1244.152435	1176.482975	1236.281003
FGF5	4258.475846	4251.510294	4048.278959	3057.483449	3082.124623	2883.034535
LRRC15	1759.158534	1799.084347	1678.580784	2679.794317	2714.034894	2899.570158
CITED2	27815.41289	24970.67763	25922.25137	18015.87739	17987.25122	14774.09296
SULF2	287.0421851	215.5452492	221.4571207	525.802517	537.5915386	452.297928
CYP1B1	252.1870626	139.8649173	162.6158567	35.97039352	45.13361798	31.12587892
PITPNM3	389.5572512	274.9399401	283.5079081	607.2648788	599.7756345	606.9546389
DCBLD1	905.2080338	981.9283576	879.4094356	1300.22393	1271.765058	1310.204966
TNFRSF11B	2040.049816	1424.514603	1544.850639	860.1155862	888.6307895	665.3156618
SCX	71.76054628	81.42820527	106.9841163	271.8938569	278.8254622	181.8918549
SPHK1	2252.256002	2537.686068	2532.314032	3890.092264	3794.232818	3800.275279
MTHFD2	2518.795174	1932.243412	1963.158533	1360.527237	1349.996662	1373.429407
SLC6A9	824.2211315	612.1485078	617.2983508	360.7618879	326.967988	272.3514405
ARL4C	273.7152265	273.0239824	261.0412437	140.7077158	130.3860075	148.8206086
SPDL1	1486.468459	1792.378495	1839.056958	2702.011325	2564.59247	2718.650987
SFRP1	230.6588987	174.3521572	157.2666509	375.5732265	378.1194217	358.9202913
PDE1C	1318.34375	1142.86881	1243.155431	715.1760594	733.1705498	586.5282808
DDIT4	895.9816778	548.9219014	574.5047043	280.3574789	248.7363835	175.0830689
PTX3	604.8388901	420.5527307	393.7015478	230.6336996	223.6621513	159.5201294
IL11	213.2313375	234.7048269	218.2475972	377.689132	398.1788075	399.7730073
MKNK2	3039.57171	2300.107304	2489.520385	1559.422354	1469.350007	1271.297617
PLIN2	2414.229807	2246.460486	2312.996593	1682.144873	1686.994343	1840.317591
MOCOS	690.9515456	531.6782814	521.0126462	354.4141714	306.9086022	225.6626221
SYNE3	1005.672799	684.9549031	743.539608	491.948029	433.2827326	409.4998445
