Gene	CTRL_1	CTRL_2	CTRL_3	Eto_1	Eto_2	Eto_3
TOP2A	1996.993488	2455.299883	2288.390247	65.06178577	83.50377627	46.40606976
CDC20	1215.828684	1738.731677	1741.701413	22.05484263	20.0409063	29.64832235
MKI67	1722.253111	2094.141844	2048.745826	26.46581116	28.94797577	12.89057493
ANLN	2046.20072	2656.475449	2560.129902	120.1988923	114.6785194	114.7261169
SHCBP1	653.0209711	829.6097148	845.1745184	17.64387411	24.49444104	25.78114987
TACC3	1084.609399	1487.741209	1327.672883	89.32211266	89.07069469	76.05439211
CEP55	631.4928072	888.0464268	854.8030889	23.15758476	20.0409063	21.91397739
BIRC5	1251.708957	1772.260938	1743.841095	43.00694313	47.87549839	39.96078229
ASPM	779.1145024	1076.768267	915.7840352	36.39049034	33.40151051	36.09360981
KIF20A	777.0642011	1015.457619	975.6951403	11.02742132	5.566918418	9.023402453
PLK1	932.8871016	1185.019881	1066.631639	29.77403755	43.42196366	25.78114987
CDK1	468.4938521	614.0644656	661.1618385	5.513710658	15.58737157	16.75774741
COL3A1	17960.63958	22086.2032	20032.77577	11028.52406	11739.51756	11227.69077
IQGAP3	673.5239843	778.8368339	788.4729368	40.80145887	50.10226576	54.14041472
CCNB1	1306.041942	1798.126368	1723.514113	108.0687289	121.3588215	122.4604619
DLGAP5	505.3992759	683.0389453	712.5142143	9.924679185	7.793685785	3.86717248
GADD45A	1883.201764	1621.858253	1750.260142	3094.294421	3076.279118	3082.136467
CDCA8	424.4123737	590.1149935	552.0380399	15.43838984	22.26767367	10.31245995
LMNB1	609.9646434	824.8198204	737.120561	20.9521005	14.47398789	25.78114987
RRM2	513.6004812	697.4086286	694.3269145	33.08226395	34.51489419	24.49209237
CLU	629.4425059	849.7272714	862.291977	183.0551938	178.1413894	181.7571066
BUB1B	251.161912	344.8723988	312.3936195	8.821937053	11.13383684	6.445287467
MDM2	1580.782319	1300.935326	1278.460189	3228.828961	3090.753106	3106.628559
NR1D1	665.3227791	529.7623237	504.9650287	1300.132973	1190.207158	1228.471791
CDKN1A	14453.59917	11980.48394	12035.71308	43861.56829	42912.03393	46238.49229
HJURP	388.5321006	468.451675	440.774559	5.513710658	7.793685785	7.73434496
NCAPH	227.5834468	311.3431378	304.9047313	12.13016345	7.793685785	12.89057493
PKMYT1	397.7584565	565.2075424	563.8062927	17.64387411	30.06135946	27.07020736
TPX2	1588.983525	1925.53756	2029.488685	221.6511685	228.2436551	251.3662112
