Gene	Eto_1	Eto_2	Eto_3	FTY_1	FTY_2	FTY_3
TOP2A	65.06178577	83.50377627	46.40606976	3531.698654	2439.104835	2601.313589
MKI67	26.46581116	28.94797577	12.89057493	2826.239646	1991.885366	2143.051092
CDC20	22.05484263	20.0409063	29.64832235	2263.457741	1340.65342	1708.375634
ANLN	120.1988923	114.6785194	114.7261169	3558.12034	2409.960195	2453.052193
SHCBP1	17.64387411	24.49444104	25.78114987	1166.957785	746.7057653	977.1773845
CEP55	23.15758476	20.0409063	21.91397739	1260.314407	839.1646218	917.6481875
TACC3	89.32211266	89.07069469	76.05439211	1833.664987	1380.852923	1280.439331
CDK1	5.513710658	15.58737157	16.75774741	915.0710477	705.5012749	728.951865
ASPM	36.39049034	33.40151051	36.09360981	1310.51561	962.7780931	938.9888431
PLK1	29.77403755	43.42196366	25.78114987	1637.26379	1120.561142	974.9309997
BIRC5	43.00694313	47.87549839	39.96078229	2208.852924	1378.842948	1463.519692
IQGAP3	40.80145887	50.10226576	54.14041472	1062.151765	806.000032	916.5249952
RRM2	33.08226395	34.51489419	24.49209237	1065.674656	706.5062625	946.8511898
KIF20A	11.02742132	5.566918418	9.023402453	1256.791516	817.0548953	852.5030286
CCNB1	108.0687289	121.3588215	122.4604619	2334.796292	1501.451431	1678.04944
MDM2	3228.828961	3090.753106	3106.628559	1193.37947	1278.34419	1356.816414
CDCA8	15.43838984	22.26767367	10.31245995	780.3204507	516.5636115	724.4590954
BUB1B	8.821937053	11.13383684	6.445287467	463.2602224	291.4463956	471.7408063
GINS2	7.719194921	15.58737157	15.46868992	376.0686597	254.2618555	351.55922
LMNB1	20.9521005	14.47398789	25.78114987	1161.673447	784.895293	757.0316749
DLGAP5	9.924679185	7.793685785	3.86717248	900.0987592	583.8977788	684.0241692
KIF2C	20.9521005	22.26767367	18.04680491	780.3204507	506.5137358	709.8575943
NCAPH	12.13016345	7.793685785	12.89057493	461.4987767	329.6359233	307.7547165
PKMYT1	17.64387411	30.06135946	27.07020736	785.6047878	563.7980274	612.1398558
HJURP	5.513710658	7.793685785	7.73434496	652.6156365	519.5785742	550.364274
CDT1	47.41791166	32.28812682	28.35926485	697.5325022	458.2743324	522.2844641
CENPF	134.5345401	152.5335647	166.2884166	2104.927627	1485.37163	1600.549164
FAM83D	16.54113197	23.38105736	19.3358624	782.0818964	516.5636115	425.6899181
TPX2	221.6511685	228.2436551	251.3662112	2688.84688	1867.266907	1881.347263
GTSE1	23.15758476	22.26767367	29.64832235	1013.712008	696.4563867	641.3428581
BTG2	390.3707146	369.6433829	358.3579831	111.8518028	110.5486328	116.8120092
CCNA2	109.171471	115.7919031	139.2182093	1928.783055	1158.750669	1430.947113
KIF11	52.93162232	54.5558005	39.96078229	1021.638513	748.7157404	859.242183
PBK	18.74661624	15.58737157	12.89057493	971.4373105	654.2469088	689.6401312
CDCA5	45.2124274	31.17474314	38.6717248	942.3734563	633.1421698	636.8500885
NCAPG	27.56855329	24.49444104	18.04680491	785.6047878	603.9975302	533.5163881
KIFC1	15.43838984	28.94797577	24.49209237	1100.90357	737.6608772	543.6251197
PRR11	59.54807511	57.89595155	56.71852971	1173.122845	800.9750941	713.2271715
DEPDC1	9.924679185	11.13383684	16.75774741	669.3493708	450.2344318	532.3931957
MYBL2	47.41791166	30.06135946	37.38266731	1159.031279	711.5312003	664.9298984
UBE2C	11.02742132	2.226767367	7.73434496	1046.298753	783.8903054	680.654592
CDKN2C	41.904201	47.87549839	37.38266731	717.7891279	475.3591211	542.5019273
WDR62	27.56855329	26.72120841	29.64832235	583.0385309	407.0199663	412.2116093
GADD45A	3094.294421	3076.279118	3082.136467	1755.280653	1760.738225	1862.252993
KNL1	23.15758476	11.13383684	7.73434496	738.0457536	484.4040093	514.4221174
KIF23	135.6372822	144.7398789	175.3118191	1619.649333	1130.611017	1145.656244
SPAG5	33.08226395	20.0409063	23.20303488	859.5855078	579.8778285	458.2624976
BUB1	6.61645279	15.58737157	15.46868992	901.8602049	521.5885494	575.0745068
KIF4A	20.9521005	8.907069469	11.60151744	668.468648	416.0648544	445.9073812
NEURL1B	12.13016345	13.3606042	9.023402453	298.5650483	192.9576136	280.798099
CDC6	20.9521005	18.92752262	25.78114987	582.157808	335.6658487	402.1028778
TCF19	129.0208294	136.9461931	131.4838643	1380.092716	934.6384411	1045.692121
ASF1B	23.15758476	16.70075525	14.17963243	574.2313023	390.9401651	345.943258
CKAP2L	14.33564771	17.81413894	19.3358624	585.6806995	377.8753267	344.8200656
FBXO5	35.28774821	30.06135946	32.22643733	413.9397425	285.4164702	266.1965979
GMNN	66.1645279	76.82347417	56.71852971	520.5072081	365.8154759	445.9073812
AURKA	175.3359989	195.9555283	184.3352215	1089.454173	916.5486648	855.8726058
NDC80	7.719194921	7.793685785	1.289057493	468.5445596	315.5660973	347.0664504
CDKN1A	43861.56829	42912.03393	46238.49229	11531.30436	14796.43201	14303.85516
TTK	16.54113197	7.793685785	12.89057493	460.6180539	310.5411595	339.2041036
TRIP13	63.95904363	55.66918418	78.63250709	805.8614135	539.6783257	535.7627729
CDCA3	22.05484263	38.96842893	29.64832235	559.2590138	398.9800657	422.3203409
WDR76	17.64387411	25.60782472	29.64832235	459.737331	295.4663459	332.4649492
AURKB	13.23290558	10.02045315	20.62491989	598.8915423	397.9750781	361.6679515
RAD51AP1	20.9521005	13.3606042	5.156229973	264.2168569	182.9077379	199.9282465
PIMREG	16.54113197	14.47398789	12.89057493	633.2397337	408.0249539	326.8489872
HMMR	6.61645279	5.566918418	9.023402453	516.9843167	367.825451	399.856493
KIF18B	4.410968526	6.680302101	2.578114987	535.4794966	344.7107369	394.240531
CENPK	28.67129542	45.64873103	46.40606976	376.9493825	242.2020046	312.2474861
CDCA2	62.8563015	66.80302101	43.82795477	654.3770822	455.2593697	604.2775091
PSRC1	82.70565987	69.02978838	65.74193216	494.9662453	345.7157244	433.5522649
NEK2	4.410968526	6.680302101	2.578114987	422.746971	254.2618555	353.8056047
UHRF1	186.3634202	215.9964346	176.6008766	1980.745704	1207.99506	1318.627873
TK1	273.4800486	288.366374	333.8658908	2340.080629	1536.625996	1678.04944
CENPU	22.05484263	25.60782472	20.62491989	435.9578139	300.4912837	329.095372
FANCD2	20.9521005	26.72120841	15.46868992	298.5650483	220.0922781	213.4065552
CRABP2	641.7959206	647.9893038	598.1226769	1624.052947	1334.623494	1184.967978
TROAP	12.13016345	3.340151051	5.156229973	339.0782997	209.0374148	283.0444838
RACGAP1	258.0416588	264.9853167	219.1397739	1723.57463	1212.015011	1402.867303
FOXM1	185.2606781	188.1618425	235.8975213	1902.36137	1179.855408	1272.576985
MCM5	341.8500608	345.1489419	357.0689256	2385.878218	1693.404057	1793.738256
MCM10	4.410968526	7.793685785	3.86717248	348.7662511	196.9775639	196.5586693
ZNF367	1.102742132	13.3606042	24.49209237	387.5180568	310.5411595	292.030023
SKA1	11.02742132	11.13383684	11.60151744	346.1240825	247.2269425	252.7182891
CHAF1B	46.31516953	57.89595155	47.69512725	395.4445625	248.2319301	311.1242937
ZWINT	57.34259084	41.19519629	64.45287467	810.2650278	538.6733381	561.596198
CENPM	13.23290558	10.02045315	14.17963243	309.1337226	172.8578622	142.6454343
POLQ	14.33564771	5.566918418	7.73434496	306.491554	194.9675888	294.2764078
KIF20B	57.34259084	62.34948628	60.58570219	584.7999766	425.1097426	363.9143363
FDXR	934.0225855	823.9039258	960.3478325	296.8036026	335.6658487	405.472455
MAD2L1	83.808402	64.57625365	67.03098965	771.5132221	505.5087482	675.03863
KPNA2	853.5224099	861.7589711	852.0670031	3925.381771	2900.39413	3092.148666
HMGN2	2465.731406	2629.812261	2667.059954	6618.632265	5332.464052	5477.809315
POLD1	223.8566527	187.0484588	211.4054289	781.2011736	566.8129901	703.1184399
CLSPN	9.924679185	15.58737157	9.023402453	404.2517911	217.0773154	259.4574435
ARHGAP11A	176.4387411	141.3997278	152.1087842	1207.471036	888.4090128	797.4666012
POC1A	74.98646495	91.29746205	85.07779456	459.737331	329.6359233	351.55922
FANCG	79.39743348	85.73054364	86.36685205	362.8578168	325.615973	317.8634481
GDF15	3309.329137	3268.894495	3577.134544	569.827688	757.7606286	791.8506392
TMPO	228.2676212	267.2120841	198.514854	1690.107161	1161.765632	1415.222419
STIL	72.78098069	80.16362522	59.29664469	420.1048025	317.5760725	269.566175
KIF15	12.13016345	6.680302101	3.86717248	223.7036055	142.7082351	143.7686267
FEN1	148.8701878	143.6264952	161.1321867	878.0806878	626.1072568	701.9952475
CCNB2	50.72613805	51.21564944	48.98418475	715.1469593	519.5785742	449.2769584
NEAT1	9280.67778	10062.76173	9785.235432	4606.180539	5680.189752	5613.715595
MXD3	48.52065379	57.89595155	51.56229973	302.9686626	227.1271911	285.2908686
MCM8	88.21937053	85.73054364	76.05439211	443.8843196	320.5910352	349.3128352
NR1D1	1300.132973	1190.207158	1228.471791	596.2493737	670.3267099	698.6256703
PHF19	207.3155207	264.9853167	261.6786711	820.8337021	637.1621201	763.7708293
CENPI	35.28774821	35.62827787	38.6717248	306.491554	199.9925266	257.2110587
CHTF18	113.5824396	95.75099679	105.7027145	572.4698566	408.0249539	424.5667257
SRSF7	679.2891531	720.3592433	692.2238739	1856.563781	1351.708283	1446.671806
TUBA1C	3838.64536	3834.493406	4155.921358	7553.079216	6935.419228	6633.574291
SULF2	605.4054303	643.5357691	614.8804243	255.4096283	285.4164702	208.9137857
S1PR3	272.3773065	261.6451656	277.1473611	1032.207188	658.266859	589.6760079
CKAP2	411.3228151	464.2809961	442.1467202	1795.793904	1335.628482	1574.715739
CDCA7	20.9521005	11.13383684	24.49209237	336.4361311	199.9925266	266.1965979
THBS1	145268.632	146777.371	144581.9775	83601.73641	94221.60474	93405.80285
NUF2	3.308226395	7.793685785	3.86717248	368.1421539	280.3915323	311.1242937
KIF22	170.9250304	152.5335647	197.2257965	982.0059848	688.4164862	744.6765586
PAQR4	60.65081724	64.57625365	54.14041472	236.0337255	231.1471413	288.6604458
UBE2S	937.3308119	849.5117506	965.5040625	3750.998645	2804.920311	2620.40786
ESPL1	59.54807511	43.42196366	64.45287467	511.6999795	347.7256996	477.3567683
DTL	16.54113197	31.17474314	14.17963243	457.0951624	357.7755753	306.6315241
