Gene	Eto_1	Eto_2	Eto_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
NR1D1	1300.132973	1190.207158	1228.471791	234.8655106	236.7007521	249.979715
CHAC1	1871.353397	1660.055072	1668.040396	501.4696038	414.2263161	352.1115052
TOP2A	65.06178577	83.50377627	46.40606976	1541.437158	1750.181408	3496.79796
MKI67	26.46581116	28.94797577	12.89057493	1262.137631	1320.910553	2726.432456
CDC20	22.05484263	20.0409063	29.64832235	1006.113066	1032.055398	2021.236762
ATF4	8473.470539	9243.311341	8895.785761	5150.11399	4935.611868	5213.584718
GPRC5A	1295.722005	1230.28897	1255.541998	285.6472427	305.905633	215.935785
ANLN	120.1988923	114.6785194	114.7261169	1621.841567	1718.086391	3430.655467
AVPI1	632.9739836	611.2476423	679.333299	220.0541721	206.6116734	232.4714082
MTHFD2	3142.815075	3265.554344	3064.089662	1360.527237	1349.996662	1373.429407
FAM167A	1906.641146	1804.794951	1888.469228	663.3363746	696.0606861	698.3869082
CEP55	23.15758476	20.0409063	21.91397739	537.4399973	590.7489109	1157.493622
SHCBP1	17.64387411	24.49444104	25.78114987	527.9184225	569.6865558	1045.634995
SESN2	2510.943834	2443.877185	2558.779124	829.4349565	762.2566592	624.4629458
STC2	11294.28491	10779.78082	11164.52695	4057.248798	3818.304081	3212.774314
ASPM	36.39049034	33.40151051	36.09360981	699.3067681	665.9716075	1388.992347
CRABP2	641.7959206	647.9893038	598.1226769	1514.988339	1756.199224	1890.897144
GADD45A	3094.294421	3076.279118	3082.136467	1846.12755	1584.691476	1584.501774
PLK1	29.77403755	43.42196366	25.78114987	741.6248782	772.2863521	1535.867588
KIF20A	11.02742132	5.566918418	9.023402453	562.8308633	628.8617438	1213.909278
CDK1	5.513710658	15.58737157	16.75774741	422.1231475	398.1788075	752.8571963
BIRC5	43.00694313	47.87549839	39.96078229	918.3029875	947.8059775	1975.520627
TACC3	89.32211266	89.07069469	76.05439211	835.782673	800.3694921	1471.670463
TXNRD1	13551.59806	14237.95055	13732.32948	8369.46421	8453.025163	9075.139072
NR1D2	1659.626908	1754.692685	1726.047984	707.7703901	735.1764884	963.9295627
SPDL1	1138.02988	1332.720269	1202.690641	2702.011325	2564.59247	2718.650987
MARS	4939.182008	4902.228359	4885.5279	3181.263921	3137.287934	2946.258976
S1PR3	272.3773065	261.6451656	277.1473611	923.5927513	927.7465918	1181.810715
MICAL2	4967.853303	4971.258147	4812.051623	7570.709883	7524.275602	7140.47116
LMNB1	20.9521005	14.47398789	25.78114987	558.5990523	592.7548494	1184.728766
PSAT1	8058.839498	8197.844062	7715.009098	3058.541402	3065.074145	2560.103541
IQGAP3	40.80145887	50.10226576	54.14041472	524.7445643	513.5202757	981.4378696
PPP1R15A	2920.061165	2605.31782	2824.324968	1520.278103	1549.587551	1467.779728
CDCA8	15.43838984	22.26767367	10.31245995	388.2686595	408.2085004	725.6220522
BUB1B	8.821937053	11.13383684	6.445287467	215.8223611	226.6710592	462.0247652
NCAPH	12.13016345	7.793685785	12.89057493	241.2132271	199.5908884	459.106714
DLGAP5	9.924679185	7.793685785	3.86717248	385.0948012	370.0956674	822.8904239
SLC3A2	10799.1537	10393.43669	10941.52	4511.110528	4311.764971	3559.049717
RRM2	33.08226395	34.51489419	24.49209237	433.7606277	457.3539955	907.5139072
CCNB1	108.0687289	121.3588215	122.4604619	1052.662987	1034.061336	2139.904176
SH2D4A	2439.265595	2567.462774	2503.349652	1636.652905	1550.59052	1461.943625
GARS	8674.169607	9124.179287	8578.677618	5457.97824	5227.475931	4928.58839
CARS	3023.718925	3098.546791	3051.199087	1715.999361	1604.750861	1496.960239
NUPR1	4225.707848	4246.445369	4408.576627	2057.7181	2061.101888	1572.829569
FAM83D	16.54113197	23.38105736	19.3358624	317.3858252	403.1936539	682.8239687
SLC6A9	1144.646333	929.6753758	1054.44903	360.7618879	326.967988	272.3514405
KIF2C	20.9521005	22.26767367	18.04680491	335.3710219	390.1550532	747.9937777
SLC7A11	3624.713387	3835.60679	3556.509624	999.7653493	972.8802097	833.5899447
CCNA2	109.171471	115.7919031	139.2182093	978.6062943	1055.123691	1854.907847
GINS2	7.719194921	15.58737157	15.46868992	188.3155896	195.5790112	324.8763612
PBK	18.74661624	15.58737157	12.89057493	424.239053	442.3094562	971.7110324
KIFC1	15.43838984	28.94797577	24.49209237	496.17984	528.564815	1015.4818
H1F0	3540.904985	3499.364917	3508.814497	2032.327234	1947.766358	1942.449381
NR4A1	463.1516953	456.4873103	536.2479172	206.3007864	190.5641648	179.9464875
PHLDA1	4660.188248	4859.919779	4647.052263	2310.568807	2325.88578	2432.681974
SGK1	1409.304444	1378.369	1487.572347	854.8258225	887.6278202	818.999689
DDIT4	1265.947967	1114.497067	1247.807654	280.3574789	248.7363835	175.0830689
SPAG5	33.08226395	20.0409063	23.20303488	430.5867695	401.1877154	877.360712
CDCA5	45.2124274	31.17474314	38.6717248	408.3697617	479.4193199	891.9509677
TPX2	221.6511685	228.2436551	251.3662112	1338.310229	1415.189666	2491.042997
ULBP1	682.5973795	719.2458596	635.5053442	267.6620459	215.638397	201.3455292
HJURP	5.513710658	7.793685785	7.73434496	236.9814161	275.8165543	579.7194948
MYBL2	47.41791166	30.06135946	37.38266731	499.3536983	516.5291835	1079.678925
